,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2,1,2,2,1
bitrate-2,3,1,2,3,2
bitrate-3,4,4,3,4,5
bitrate-4,5,5,5,5,5
Image Reference,5,5,5,5,5
