,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.042,2.633,1.863,1.937,2.595
bitrate-2,1.876,2.244,1.987,1.887,2.974
bitrate-3,2.613,1.865,2.595,2.495,3.562
bitrate-4,4.529,4.029,4.416,4.453,4.453
