,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.543,2.674,1.909,2.101,2.432
bitrate-2,2.886,1.936,2.763,2.667,3.834
bitrate-3,4.605,4.307,4.453,4.529,4.529
bitrate-4,4.803,4.803,4.803,4.803,4.803
