,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,1.377,2.744,2.57,2.833,1.872
bitrate-2,2.575,2.83,2.314,2.843,1.941
bitrate-3,2.805,2.871,1.99,2.37,2.185
bitrate-4,4.644,4.343,4.529,4.605,4.529
