,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,25.603,27.476,29.108,25.059,29.108
bitrate-2,27.238,28.779,30.675,26.581,30.838
bitrate-3,30.312,31.339,33.413,29.594,33.887
bitrate-4,40.109,40.154,43.191,39.329,42.534
