,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,21.535,24.193,25.096,21.633,25.275
bitrate-2,22.27,24.777,26.082,22.371,26.356
bitrate-3,23.51,25.602,27.458,23.582,27.89
bitrate-4,43.587,42.108,43.84,42.477,44.896
