,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,21.248,23.596,25.523,28.719,29.214
bitrate-2,28.075,29.357,30.872,33.776,32.8
bitrate-3,38.686,39.057,40.345,42.66,42.176
bitrate-4,50.899,51.227,51.837,54.201,54.262
