,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.77,0.681,0.831,0.792,0.921
bitrate-2,0.842,0.738,0.869,0.847,0.94
bitrate-3,0.922,0.835,0.921,0.915,0.963
bitrate-4,0.992,0.978,0.989,0.99,0.99
