,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.695,0.674,0.8,0.76,0.911
bitrate-2,0.936,0.86,0.93,0.925,0.972
bitrate-3,0.994,0.986,0.99,0.992,0.992
bitrate-4,0.999,0.999,0.999,0.999,0.999
