,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.631,0.6,0.767,0.605,0.855
bitrate-2,0.686,0.617,0.79,0.642,0.872
bitrate-3,0.76,0.649,0.824,0.707,0.898
bitrate-4,0.995,0.978,0.989,0.991,0.985
