,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.989,2.409,2.321,2.542,2.206
bitrate-2,2.78,2.282,2.192,2.397,2.118
bitrate-3,2.453,2.159,2.09,2.154,2.096
bitrate-4,4.758,4.604,4.792,4.77,4.828
