,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.028,0.031,0.037,0.033,0.04
bitrate-2,0.033,0.035,0.042,0.038,0.046
bitrate-3,0.043,0.042,0.051,0.048,0.056
bitrate-4,0.073,0.07,0.077,0.076,0.079
