,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,3,2,2,2,2
bitrate-2,2,3,2,2,2
bitrate-3,4,4,3,3,3
bitrate-4,5,5,5,5,5
Image Reference,5,5,5,5,4
