,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,1,3,2,1,1
bitrate-2,3,4,3,3,3
bitrate-3,5,5,5,5,5
bitrate-4,5,5,5,5,5
Image Reference,5,5,5,5,4
