,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.323,0.354,0.321,0.328,0.289
bitrate-2,0.375,0.413,0.384,0.377,0.327
bitrate-3,0.472,0.515,0.495,0.462,0.39
bitrate-4,0.757,0.788,0.788,0.721,0.617
