,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.135,0.205,0.221,0.185,0.248
bitrate-2,0.156,0.229,0.252,0.207,0.282
bitrate-3,0.198,0.263,0.307,0.265,0.337
bitrate-4,0.852,0.81,0.864,0.856,0.88
