,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,0.287,0.305,0.378,0.348,0.426
bitrate-2,0.482,0.462,0.556,0.517,0.621
bitrate-3,0.797,0.78,0.808,0.796,0.831
bitrate-4,0.973,0.973,0.973,0.972,0.973
