,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,1,3,1,3,1
bitrate-2,3,3,3,2,3
bitrate-3,4,4,4,4,2
bitrate-4,4,5,5,5,5
Image Reference,5,5,5,5,5
