,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.5,2.0,1.75,1.75,1.5
bitrate-2,2.75,2.75,2.5,2.75,2.5
bitrate-3,3.5,3.75,3.0,3.5,3.5
bitrate-4,5.0,5.0,5.0,5.0,4.75
Image Reference,4.75,5.0,4.75,5.0,4.75
