,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.0,2.5,1.5,1.5,2.0
bitrate-2,3.5,4.0,3.5,3.5,4.0
bitrate-3,4.5,5.0,4.5,5.0,5.0
bitrate-4,5.0,4.5,5.0,5.0,5.0
Image Reference,4.5,5.0,4.5,5.0,5.0
