,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.191,2.25,2.216,2.185,2.36
bitrate-2,2.2,2.346,2.318,2.224,2.569
bitrate-3,2.422,2.649,2.655,2.462,3.08
bitrate-4,4.142,4.206,4.34,4.126,4.759
