,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.22,2.202,2.191,2.188,2.296
bitrate-2,2.516,2.758,2.791,2.556,3.276
bitrate-3,4.49,4.573,4.521,4.324,4.863
bitrate-4,4.873,4.805,4.874,5.026,4.558
