,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2.495,2.205,2.271,2.406,2.187
bitrate-2,2.403,2.188,2.21,2.324,2.196
bitrate-3,2.291,2.19,2.185,2.22,2.271
bitrate-4,4.859,4.749,4.903,4.741,5.105
