,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2,2,2,3,4
bitrate-2,4,4,3,3,2
bitrate-3,3,3,2,3,3
bitrate-4,2,5,4,3,4
Image Reference,5,2,4,2,2
