,Image 1,Image 2,Image 3,Image 4,Image 5
bitrate-1,2,3,1,1,1
bitrate-2,3,3,3,3,3
bitrate-3,3,3,3,4,2
bitrate-4,5,5,5,5,4
Image Reference,4,5,4,5,5
